animal_id,session_id,source_session_name,release_session_name,mapping_source,mapping_confidence,locally_available,already_audited,compressed_size_bytes,compressed_size_if_known,notes
Dino,Dino_061814_mPFC,Dino_061814_mPFC,Dino_061814_mPFC,WatsonSleepHomestasis2016Table.xlsx:SleepOverview!A24:L24; filelist.txt,confirmed,false,false,5453164772,5.0 GB,Exact source/release basename match; mPFC
Dino,Dino_061914_ACC,Dino_061914_ACC,Dino_061914_ACC,WatsonSleepHomestasis2016Table.xlsx:SleepOverview!A25:L25; filelist.txt,confirmed,false,false,4704193674,4.3 GB,Exact source/release basename match; ACC recording
Dino,Dino_061914_mPFC,Dino_061914_mPFC,Dino_061914_mPFC,WatsonSleepHomestasis2016Table.xlsx:SleepOverview!A26:L26; filelist.txt,confirmed,false,false,4750260107,4.4 GB,Exact source/release basename match; mPFC recording from same date as ACC release
Dino,Dino_062014_ACC,Dino_062014_ACC,Dino_062014_ACC,WatsonSleepHomestasis2016Table.xlsx:SleepOverview!A27:L27; filelist.txt,confirmed,false,false,6037972076,5.6 GB,Exact source/release basename match; ACC; alternate-maze training
Dino,Dino_062014_mPFC,Dino_062014_mPFC,Dino_062014_mPFC,WatsonSleepHomestasis2016Table.xlsx:SleepOverview!A28:L28; filelist.txt,confirmed,false,false,6120571291,5.7 GB,Exact source/release basename match; mPFC; alternate-maze training
Dino,Dino_072114_mPFC,Dino_072114_mPFC,Dino_072114_mPFC,WatsonSleepHomestasis2016Table.xlsx:SleepOverview!A29:L29; filelist.txt,confirmed,false,false,2155009132,2.0 GB,Exact source/release basename match; mPFC; table notes few units and almost no assemblies
Dino,Dino_072314_mPFC,Dino_072314_mPFC,Dino_072314_mPFC,WatsonSleepHomestasis2016Table.xlsx:SleepOverview!A30:L30; filelist.txt,confirmed,false,false,2841305623,2.6 GB,Exact source/release basename match; mPFC
Dino,Dino_072414_mPFC,Dino_072414_mPFC,Dino_072414_mPFC,WatsonSleepHomestasis2016Table.xlsx:SleepOverview!A31:L31; filelist.txt,confirmed,false,false,3713355426,3.4 GB,Exact source/release basename match; mPFC
JennBuzsaki22,20140526_277um,20140526_277um,20140526_277um,WatsonSleepHomestasis2016Table.xlsx:SleepOverview!A34:L34; filelist.txt,confirmed,false,false,2863283880,2.6 GB,Exact source/release basename match; official animal group is JennBuzsaki22; mPFC+dHipp
JennBuzsaki22,20140527_421um,20140527_421um,20140527_421um,WatsonSleepHomestasis2016Table.xlsx:SleepOverview!A35:L35; filelist.txt,confirmed,false,false,3580989799,3.3 GB,Exact source/release basename match; official animal group is JennBuzsaki22; mPFC+dHipp
JennBuzsaki22,20140528_565um,20140528_565um,20140528_565um,WatsonSleepHomestasis2016Table.xlsx:SleepOverview!A36:L36; filelist.txt,confirmed,false,false,2567266345,2.3 GB,Exact source/release basename match; official animal group is JennBuzsaki22; mPFC+dHipp
Bogey,Bogey_012615,Bogey_012615,Bogey_012615,WatsonSleepHomestasis2016Table.xlsx:SleepOverview!A39:L39; filelist.txt,confirmed,false,false,4273115481,3.9 GB,Exact source/release basename match; mPFC
Splinter,Splinter_020515,Splinter_020515,Splinter_020515,WatsonSleepHomestasis2016Table.xlsx:SleepOverview!A42:L42; filelist.txt,confirmed,false,false,3202789875,2.9 GB,Exact source/release basename match; OFC
Splinter,Splinter_020915,Splinter_020915,Splinter_020915,WatsonSleepHomestasis2016Table.xlsx:SleepOverview!A43:L43; filelist.txt,confirmed,true,true,2716267370,2.5 GB,Exact source/release basename match; OFC
Rizzo,Rizzo_022615,Rizzo_022615,Rizzo_022615,WatsonSleepHomestasis2016Table.xlsx:SleepOverview!A46:L46; filelist.txt,confirmed,false,false,5939243080,5.5 GB,Exact source/release basename match; OFC; table notes additional unstable units
Rizzo,Rizzo_022715,Rizzo_022715,Rizzo_022715,WatsonSleepHomestasis2016Table.xlsx:SleepOverview!A47:L47; filelist.txt,confirmed,false,false,3942532487,3.6 GB,Exact source/release basename match; OFC
Templeton,Templeton_032415,Templeton_032415,Templeton_032415,WatsonSleepHomestasis2016Table.xlsx:SleepOverview!A50:L50; filelist.txt,confirmed,false,false,3690380449,3.4 GB,Exact source/release basename match; OFC; table notes unstable units and high-frequency noise
