source_family,field_path,sessions_present,session_ids,dtype_shape_variants,pipeline_use,classification,scientific_semantics,notes
BasicMetaData.mat,bmd.a,1,BWRat21_121813,"{""dtype"": ""int64"", ""shape"": []}",not consumed,irrelevant_administrative_metadata,See official data description or raw field name; raw value preserved.,
BasicMetaData.mat,bmd.b,1,BWRat21_121813,"{""dtype"": ""uint8"", ""shape"": [0]}",not consumed,irrelevant_administrative_metadata,See official data description or raw field name; raw value preserved.,
BasicMetaData.mat,bmd.basename,27,BWRat17_121712|BWRat17_121912|BWRat18_020513|BWRat19_032413|BWRat19_032513|BWRat20_101013|BWRat20_101513|BWRat21_121113|BWRat21_121613|BWRat21_121813|Dino_061814_mPFC|Dino_061914_ACC|Dino_061914_mPFC|Dino_062014_ACC|Dino_062014_mPFC|Dino_072114_mPFC|Dino_072314_mPFC|Dino_072414_mPFC|20140526_277um|20140527_421um|20140528_565um|Bogey_012615|Splinter_020515|Splinter_020915|Rizzo_022615|Rizzo_022715|Templeton_032415,"{""dtype"": ""<U12"", ""shape"": []}|{""dtype"": ""<U14"", ""shape"": []}|{""dtype"": ""<U15"", ""shape"": []}|{""dtype"": ""<U16"", ""shape"": []}",directly used and validated against directory,used_by_pipeline,See official data description or raw field name; raw value preserved.,
BasicMetaData.mat,bmd.basepath,27,BWRat17_121712|BWRat17_121912|BWRat18_020513|BWRat19_032413|BWRat19_032513|BWRat20_101013|BWRat20_101513|BWRat21_121113|BWRat21_121613|BWRat21_121813|Dino_061814_mPFC|Dino_061914_ACC|Dino_061914_mPFC|Dino_062014_ACC|Dino_062014_mPFC|Dino_072114_mPFC|Dino_072314_mPFC|Dino_072414_mPFC|20140526_277um|20140527_421um|20140528_565um|Bogey_012615|Splinter_020515|Splinter_020915|Rizzo_022615|Rizzo_022715|Templeton_032415,"{""dtype"": ""<U32"", ""shape"": []}|{""dtype"": ""<U36"", ""shape"": []}|{""dtype"": ""<U37"", ""shape"": []}|{""dtype"": ""<U38"", ""shape"": []}|{""dtype"": ""<U40"", ""shape"": []}|{""dtype"": ""<U42"", ""shape"": []}|{""dtype"": ""<U46"", ""shape"": []}|{""dtype"": ""<U47"", ""shape"": []}",not consumed,irrelevant_administrative_metadata,See official data description or raw field name; raw value preserved.,
BasicMetaData.mat,bmd.dirs,1,BWRat21_121813,"{""dtype"": ""object"", ""shape"": [27]}",not consumed,irrelevant_administrative_metadata,See official data description or raw field name; raw value preserved.,
BasicMetaData.mat,bmd.executestring,1,BWRat21_121813,"{""dtype"": ""<U47"", ""shape"": []}",not consumed,irrelevant_administrative_metadata,See official data description or raw field name; raw value preserved.,
BasicMetaData.mat,bmd.goodeegchannel,27,BWRat17_121712|BWRat17_121912|BWRat18_020513|BWRat19_032413|BWRat19_032513|BWRat20_101013|BWRat20_101513|BWRat21_121113|BWRat21_121613|BWRat21_121813|Dino_061814_mPFC|Dino_061914_ACC|Dino_061914_mPFC|Dino_062014_ACC|Dino_062014_mPFC|Dino_072114_mPFC|Dino_072314_mPFC|Dino_072414_mPFC|20140526_277um|20140527_421um|20140528_565um|Bogey_012615|Splinter_020515|Splinter_020915|Rizzo_022615|Rizzo_022715|Templeton_032415,"{""dtype"": ""int64"", ""shape"": []}",loaded; M4 recommended_lfp role,used_by_pipeline,See official data description or raw field name; raw value preserved.,
BasicMetaData.mat,bmd.goodshanks,27,BWRat17_121712|BWRat17_121912|BWRat18_020513|BWRat19_032413|BWRat19_032513|BWRat20_101013|BWRat20_101513|BWRat21_121113|BWRat21_121613|BWRat21_121813|Dino_061814_mPFC|Dino_061914_ACC|Dino_061914_mPFC|Dino_062014_ACC|Dino_062014_mPFC|Dino_072114_mPFC|Dino_072314_mPFC|Dino_072414_mPFC|20140526_277um|20140527_421um|20140528_565um|Bogey_012615|Splinter_020515|Splinter_020915|Rizzo_022615|Rizzo_022715|Templeton_032415,"{""dtype"": ""uint8"", ""shape"": [3]}|{""dtype"": ""uint8"", ""shape"": [4]}|{""dtype"": ""uint8"", ""shape"": [5]}|{""dtype"": ""uint8"", ""shape"": [6]}|{""dtype"": ""uint8"", ""shape"": [7]}|{""dtype"": ""uint8"", ""shape"": [8]}",loaded as unit/shank provenance,used_by_pipeline,See official data description or raw field name; raw value preserved.,
BasicMetaData.mat,bmd.manualGoodSleep,1,BWRat21_121813,"{""dtype"": ""int64"", ""shape"": []}","one-session workflow flag, not an interval",suspicious_requires_investigation,See official data description or raw field name; raw value preserved.,
BasicMetaData.mat,bmd.mastername,8,Dino_061814_mPFC|Dino_061914_ACC|Dino_061914_mPFC|Dino_062014_ACC|Dino_062014_mPFC|Dino_072114_mPFC|Dino_072314_mPFC|Dino_072414_mPFC,"{""dtype"": ""<U11"", ""shape"": []}",paired recording master basename provenance,potentially_useful_provenance,See official data description or raw field name; raw value preserved.,
BasicMetaData.mat,bmd.masterpath,8,Dino_061814_mPFC|Dino_061914_ACC|Dino_061914_mPFC|Dino_062014_ACC|Dino_062014_mPFC|Dino_072114_mPFC|Dino_072314_mPFC|Dino_072414_mPFC,"{""dtype"": ""<U30"", ""shape"": []}",original administrative/acquisition provenance,potentially_useful_provenance,See official data description or raw field name; raw value preserved.,
BasicMetaData.mat,bmd.names,1,BWRat21_121813,"{""dtype"": ""object"", ""shape"": [27]}",not consumed,irrelevant_administrative_metadata,See official data description or raw field name; raw value preserved.,
BasicMetaData.mat,bmd.outvars,1,BWRat21_121813,"{""dtype"": ""struct"", ""keys"": [""KetamineStartFile"", ""KetamineTimeStamp"", ""Par"", ""RecordingFileIntervals"", ""RecordingFilesForSleep"", ""Ripplechannel"", ""Spindlechannel"", ""Thetachannel"", ""UPstatechannel"", ""basename"", ""basepath"", ""goodeegchannel"", ""goodshanks"", ""sleepstart"", ""sleepstop"", ""voltsperunit""], ""shape"": ""scalar""}",embedded struct from BWRat21_121613 inside BWRat21_121813; stale workspace evidence,suspicious_requires_investigation,See official data description or raw field name; raw value preserved.,
BasicMetaData.mat,bmd.postsleepstartstop,1,BWRat21_121813,"{""dtype"": ""float64"", ""shape"": [2]}",one-session epoch interval; open ended,potentially_useful_provenance,See official data description or raw field name; raw value preserved.,
BasicMetaData.mat,bmd.presleepstartstop,1,BWRat21_121813,"{""dtype"": ""uint16"", ""shape"": [2]}",one-session epoch interval,potentially_useful_provenance,See official data description or raw field name; raw value preserved.,
BasicMetaData.mat,bmd.sleepstart,16,BWRat18_020513|BWRat19_032413|BWRat19_032513|BWRat20_101013|BWRat20_101513|BWRat21_121113|BWRat21_121613|BWRat21_121813|Dino_061814_mPFC|Dino_061914_ACC|Dino_061914_mPFC|Dino_062014_ACC|Dino_062014_mPFC|Dino_072114_mPFC|Dino_072314_mPFC|Dino_072414_mPFC,"{""dtype"": ""int64"", ""shape"": []}",condition/epoch-like field repeated with implausibly identical values across sessions,suspicious_requires_investigation,See official data description or raw field name; raw value preserved.,
BasicMetaData.mat,bmd.sleepstop,16,BWRat18_020513|BWRat19_032413|BWRat19_032513|BWRat20_101013|BWRat20_101513|BWRat21_121113|BWRat21_121613|BWRat21_121813|Dino_061814_mPFC|Dino_061914_ACC|Dino_061914_mPFC|Dino_062014_ACC|Dino_062014_mPFC|Dino_072114_mPFC|Dino_072314_mPFC|Dino_072414_mPFC,"{""dtype"": ""int64"", ""shape"": []}",condition/epoch-like field repeated with implausibly identical values across sessions,suspicious_requires_investigation,See official data description or raw field name; raw value preserved.,
BasicMetaData.mat,bmd.varargin,1,BWRat21_121813,"{""dtype"": ""object"", ""shape"": [0]}",not consumed,irrelevant_administrative_metadata,See official data description or raw field name; raw value preserved.,
BasicMetaData.mat,bmd.varstograb,1,BWRat21_121813,"{""dtype"": ""object"", ""shape"": [0]}",not consumed,irrelevant_administrative_metadata,See official data description or raw field name; raw value preserved.,
BasicMetaData.mat,bmd.voltsperunit,27,BWRat17_121712|BWRat17_121912|BWRat18_020513|BWRat19_032413|BWRat19_032513|BWRat20_101013|BWRat20_101513|BWRat21_121113|BWRat21_121613|BWRat21_121813|Dino_061814_mPFC|Dino_061914_ACC|Dino_061914_mPFC|Dino_062014_ACC|Dino_062014_mPFC|Dino_072114_mPFC|Dino_072314_mPFC|Dino_072414_mPFC|20140526_277um|20140527_421um|20140528_565um|Bogey_012615|Splinter_020515|Splinter_020915|Rizzo_022615|Rizzo_022715|Templeton_032415,"{""dtype"": ""float64"", ""shape"": []}",loaded; M4 intentionally remains ADC counts,used_by_pipeline,See official data description or raw field name; raw value preserved.,
BasicMetaData.mat,bmd.x,1,BWRat21_121813,"{""dtype"": ""int32"", ""shape"": [4]}",not consumed,irrelevant_administrative_metadata,See official data description or raw field name; raw value preserved.,
BasicMetaData.mat,bmd.y,1,BWRat21_121813,"{""dtype"": ""int32"", ""shape"": [4]}",not consumed,irrelevant_administrative_metadata,See official data description or raw field name; raw value preserved.,
BasicMetaData.mat,bmd.Par.Amplification,27,BWRat17_121712|BWRat17_121912|BWRat18_020513|BWRat19_032413|BWRat19_032513|BWRat20_101013|BWRat20_101513|BWRat21_121113|BWRat21_121613|BWRat21_121813|Dino_061814_mPFC|Dino_061914_ACC|Dino_061914_mPFC|Dino_062014_ACC|Dino_062014_mPFC|Dino_072114_mPFC|Dino_072314_mPFC|Dino_072414_mPFC|20140526_277um|20140527_421um|20140528_565um|Bogey_012615|Splinter_020515|Splinter_020915|Rizzo_022615|Rizzo_022715|Templeton_032415,"{""dtype"": ""int64"", ""shape"": []}",XML value loaded; MAT duplicate not cross-checked,used_by_pipeline,Acquisition/XML duplicate or original multi-file provenance.,
BasicMetaData.mat,bmd.Par.AnatGrps,27,BWRat17_121712|BWRat17_121912|BWRat18_020513|BWRat19_032413|BWRat19_032513|BWRat20_101013|BWRat20_101513|BWRat21_121113|BWRat21_121613|BWRat21_121813|Dino_061814_mPFC|Dino_061914_ACC|Dino_061914_mPFC|Dino_062014_ACC|Dino_062014_mPFC|Dino_072114_mPFC|Dino_072314_mPFC|Dino_072414_mPFC|20140526_277um|20140527_421um|20140528_565um|Bogey_012615|Splinter_020515|Splinter_020915|Rizzo_022615|Rizzo_022715|Templeton_032415,"{""dtype"": ""object"", ""shape"": [10]}|{""dtype"": ""object"", ""shape"": [11]}|{""dtype"": ""object"", ""shape"": [13]}|{""dtype"": ""object"", ""shape"": [15]}|{""dtype"": ""object"", ""shape"": [17]}|{""dtype"": ""object"", ""shape"": [24]}|{""dtype"": ""object"", ""shape"": [6]}|{""dtype"": ""object"", ""shape"": [7]}|{""dtype"": ""object"", ""shape"": [8]}|{""dtype"": ""object"", ""shape"": [9]}",XML groups loaded; MAT duplicate not cross-checked,used_by_pipeline,Acquisition/XML duplicate or original multi-file provenance.,
BasicMetaData.mat,bmd.Par.Date,27,BWRat17_121712|BWRat17_121912|BWRat18_020513|BWRat19_032413|BWRat19_032513|BWRat20_101013|BWRat20_101513|BWRat21_121113|BWRat21_121613|BWRat21_121813|Dino_061814_mPFC|Dino_061914_ACC|Dino_061914_mPFC|Dino_062014_ACC|Dino_062014_mPFC|Dino_072114_mPFC|Dino_072314_mPFC|Dino_072414_mPFC|20140526_277um|20140527_421um|20140528_565um|Bogey_012615|Splinter_020515|Splinter_020915|Rizzo_022615|Rizzo_022715|Templeton_032415,"{""dtype"": ""<U10"", ""shape"": []}",XML date loaded; MAT duplicate not cross-checked,used_by_pipeline,Acquisition/XML duplicate or original multi-file provenance.,
BasicMetaData.mat,bmd.Par.ElecGp,27,BWRat17_121712|BWRat17_121912|BWRat18_020513|BWRat19_032413|BWRat19_032513|BWRat20_101013|BWRat20_101513|BWRat21_121113|BWRat21_121613|BWRat21_121813|Dino_061814_mPFC|Dino_061914_ACC|Dino_061914_mPFC|Dino_062014_ACC|Dino_062014_mPFC|Dino_072114_mPFC|Dino_072314_mPFC|Dino_072414_mPFC|20140526_277um|20140527_421um|20140528_565um|Bogey_012615|Splinter_020515|Splinter_020915|Rizzo_022615|Rizzo_022715|Templeton_032415,"{""dtype"": ""object"", ""shape"": [10]}|{""dtype"": ""object"", ""shape"": [12]}|{""dtype"": ""object"", ""shape"": [15]}|{""dtype"": ""object"", ""shape"": [16]}|{""dtype"": ""object"", ""shape"": [18]}|{""dtype"": ""object"", ""shape"": [6]}|{""dtype"": ""object"", ""shape"": [7]}|{""dtype"": ""object"", ""shape"": [8]}|{""dtype"": ""object"", ""shape"": [9]}",not used directly,scientifically_relevant_intentionally_unused,Acquisition/XML duplicate or original multi-file provenance.,
BasicMetaData.mat,bmd.Par.FileName,27,BWRat17_121712|BWRat17_121912|BWRat18_020513|BWRat19_032413|BWRat19_032513|BWRat20_101013|BWRat20_101513|BWRat21_121113|BWRat21_121613|BWRat21_121813|Dino_061814_mPFC|Dino_061914_ACC|Dino_061914_mPFC|Dino_062014_ACC|Dino_062014_mPFC|Dino_072114_mPFC|Dino_072314_mPFC|Dino_072414_mPFC|20140526_277um|20140527_421um|20140528_565um|Bogey_012615|Splinter_020515|Splinter_020915|Rizzo_022615|Rizzo_022715|Templeton_032415,"{""dtype"": ""<U12"", ""shape"": []}|{""dtype"": ""<U14"", ""shape"": []}|{""dtype"": ""<U15"", ""shape"": []}|{""dtype"": ""<U16"", ""shape"": []}|{""dtype"": ""<U42"", ""shape"": []}",not used,potentially_useful_provenance,Acquisition/XML duplicate or original multi-file provenance.,
BasicMetaData.mat,bmd.Par.HiPassFreq,19,BWRat19_032413|BWRat19_032513|BWRat21_121113|BWRat21_121613|BWRat21_121813|Dino_061814_mPFC|Dino_061914_ACC|Dino_061914_mPFC|Dino_062014_ACC|Dino_062014_mPFC|Dino_072114_mPFC|Dino_072314_mPFC|Dino_072414_mPFC|Bogey_012615|Splinter_020515|Splinter_020915|Rizzo_022615|Rizzo_022715|Templeton_032415,"{""dtype"": ""int64"", ""shape"": []}",not used; acquisition/clustering provenance,scientifically_relevant_intentionally_unused,Acquisition/XML duplicate or original multi-file provenance.,
BasicMetaData.mat,bmd.Par.Offset,27,BWRat17_121712|BWRat17_121912|BWRat18_020513|BWRat19_032413|BWRat19_032513|BWRat20_101013|BWRat20_101513|BWRat21_121113|BWRat21_121613|BWRat21_121813|Dino_061814_mPFC|Dino_061914_ACC|Dino_061914_mPFC|Dino_062014_ACC|Dino_062014_mPFC|Dino_072114_mPFC|Dino_072314_mPFC|Dino_072414_mPFC|20140526_277um|20140527_421um|20140528_565um|Bogey_012615|Splinter_020515|Splinter_020915|Rizzo_022615|Rizzo_022715|Templeton_032415,"{""dtype"": ""int64"", ""shape"": []}",XML value loaded; MAT duplicate not cross-checked,used_by_pipeline,Acquisition/XML duplicate or original multi-file provenance.,
BasicMetaData.mat,bmd.Par.SampleRate,27,BWRat17_121712|BWRat17_121912|BWRat18_020513|BWRat19_032413|BWRat19_032513|BWRat20_101013|BWRat20_101513|BWRat21_121113|BWRat21_121613|BWRat21_121813|Dino_061814_mPFC|Dino_061914_ACC|Dino_061914_mPFC|Dino_062014_ACC|Dino_062014_mPFC|Dino_072114_mPFC|Dino_072314_mPFC|Dino_072414_mPFC|20140526_277um|20140527_421um|20140528_565um|Bogey_012615|Splinter_020515|Splinter_020915|Rizzo_022615|Rizzo_022715|Templeton_032415,"{""dtype"": ""int64"", ""shape"": []}",cross-checked MAT/XML acquisition clock,used_by_pipeline,Acquisition/XML duplicate or original multi-file provenance.,
BasicMetaData.mat,bmd.Par.SampleTime,27,BWRat17_121712|BWRat17_121912|BWRat18_020513|BWRat19_032413|BWRat19_032513|BWRat20_101013|BWRat20_101513|BWRat21_121113|BWRat21_121613|BWRat21_121813|Dino_061814_mPFC|Dino_061914_ACC|Dino_061914_mPFC|Dino_062014_ACC|Dino_062014_mPFC|Dino_072114_mPFC|Dino_072314_mPFC|Dino_072414_mPFC|20140526_277um|20140527_421um|20140528_565um|Bogey_012615|Splinter_020515|Splinter_020915|Rizzo_022615|Rizzo_022715|Templeton_032415,"{""dtype"": ""int64"", ""shape"": []}",not used,potentially_useful_provenance,Acquisition/XML duplicate or original multi-file provenance.,
BasicMetaData.mat,bmd.Par.SpkGrps,27,BWRat17_121712|BWRat17_121912|BWRat18_020513|BWRat19_032413|BWRat19_032513|BWRat20_101013|BWRat20_101513|BWRat21_121113|BWRat21_121613|BWRat21_121813|Dino_061814_mPFC|Dino_061914_ACC|Dino_061914_mPFC|Dino_062014_ACC|Dino_062014_mPFC|Dino_072114_mPFC|Dino_072314_mPFC|Dino_072414_mPFC|20140526_277um|20140527_421um|20140528_565um|Bogey_012615|Splinter_020515|Splinter_020915|Rizzo_022615|Rizzo_022715|Templeton_032415,"{""dtype"": ""object"", ""shape"": [10]}|{""dtype"": ""object"", ""shape"": [12]}|{""dtype"": ""object"", ""shape"": [15]}|{""dtype"": ""object"", ""shape"": [16]}|{""dtype"": ""object"", ""shape"": [18]}|{""dtype"": ""object"", ""shape"": [6]}|{""dtype"": ""object"", ""shape"": [7]}|{""dtype"": ""object"", ""shape"": [8]}|{""dtype"": ""object"", ""shape"": [9]}",XML groups loaded; MAT duplicate not cross-checked,used_by_pipeline,Acquisition/XML duplicate or original multi-file provenance.,
BasicMetaData.mat,bmd.Par.VoltageRange,27,BWRat17_121712|BWRat17_121912|BWRat18_020513|BWRat19_032413|BWRat19_032513|BWRat20_101013|BWRat20_101513|BWRat21_121113|BWRat21_121613|BWRat21_121813|Dino_061814_mPFC|Dino_061914_ACC|Dino_061914_mPFC|Dino_062014_ACC|Dino_062014_mPFC|Dino_072114_mPFC|Dino_072314_mPFC|Dino_072414_mPFC|20140526_277um|20140527_421um|20140528_565um|Bogey_012615|Splinter_020515|Splinter_020915|Rizzo_022615|Rizzo_022715|Templeton_032415,"{""dtype"": ""int64"", ""shape"": []}",XML value loaded; MAT duplicate not cross-checked,used_by_pipeline,Acquisition/XML duplicate or original multi-file provenance.,
BasicMetaData.mat,bmd.Par.lfpSampleRate,27,BWRat17_121712|BWRat17_121912|BWRat18_020513|BWRat19_032413|BWRat19_032513|BWRat20_101013|BWRat20_101513|BWRat21_121113|BWRat21_121613|BWRat21_121813|Dino_061814_mPFC|Dino_061914_ACC|Dino_061914_mPFC|Dino_062014_ACC|Dino_062014_mPFC|Dino_072114_mPFC|Dino_072314_mPFC|Dino_072414_mPFC|20140526_277um|20140527_421um|20140528_565um|Bogey_012615|Splinter_020515|Splinter_020915|Rizzo_022615|Rizzo_022715|Templeton_032415,"{""dtype"": ""int64"", ""shape"": []}",cross-checked MAT/XML LFP clock,used_by_pipeline,Acquisition/XML duplicate or original multi-file provenance.,
BasicMetaData.mat,bmd.Par.multiFileProcessing,18,BWRat19_032413|BWRat19_032513|BWRat20_101013|BWRat21_121113|BWRat21_121613|Dino_061914_ACC|Dino_061914_mPFC|Dino_062014_ACC|Dino_062014_mPFC|Dino_072114_mPFC|Dino_072314_mPFC|Dino_072414_mPFC|Bogey_012615|Splinter_020515|Splinter_020915|Rizzo_022615|Rizzo_022715|Templeton_032415,"{""dtype"": ""<U14"", ""shape"": []}|{""dtype"": ""object"", ""shape"": [13]}|{""dtype"": ""object"", ""shape"": [28]}|{""dtype"": ""object"", ""shape"": [3]}|{""dtype"": ""object"", ""shape"": [4]}|{""dtype"": ""object"", ""shape"": [5]}|{""dtype"": ""object"", ""shape"": [8]}",not used; concatenated source-file provenance,scientifically_relevant_intentionally_unused,Acquisition/XML duplicate or original multi-file provenance.,
BasicMetaData.mat,bmd.Par.nBits,27,BWRat17_121712|BWRat17_121912|BWRat18_020513|BWRat19_032413|BWRat19_032513|BWRat20_101013|BWRat20_101513|BWRat21_121113|BWRat21_121613|BWRat21_121813|Dino_061814_mPFC|Dino_061914_ACC|Dino_061914_mPFC|Dino_062014_ACC|Dino_062014_mPFC|Dino_072114_mPFC|Dino_072314_mPFC|Dino_072414_mPFC|20140526_277um|20140527_421um|20140528_565um|Bogey_012615|Splinter_020515|Splinter_020915|Rizzo_022615|Rizzo_022715|Templeton_032415,"{""dtype"": ""int64"", ""shape"": []}",cross-checked MAT/XML,used_by_pipeline,Acquisition/XML duplicate or original multi-file provenance.,
BasicMetaData.mat,bmd.Par.nChannels,27,BWRat17_121712|BWRat17_121912|BWRat18_020513|BWRat19_032413|BWRat19_032513|BWRat20_101013|BWRat20_101513|BWRat21_121113|BWRat21_121613|BWRat21_121813|Dino_061814_mPFC|Dino_061914_ACC|Dino_061914_mPFC|Dino_062014_ACC|Dino_062014_mPFC|Dino_072114_mPFC|Dino_072314_mPFC|Dino_072414_mPFC|20140526_277um|20140527_421um|20140528_565um|Bogey_012615|Splinter_020515|Splinter_020915|Rizzo_022615|Rizzo_022715|Templeton_032415,"{""dtype"": ""int64"", ""shape"": []}",cross-checked MAT/XML; EEG frame geometry,used_by_pipeline,Acquisition/XML duplicate or original multi-file provenance.,
